,U1-A,U2-A,U3-A,U4-A,U5-A,U6-A,U7-A,U8-A,U9-A,U10-A,U11-A,U12-A,U13-A,U14-A,U15-A,U16-A,U17-A,U18-A,U19-A,U20-A,V1-A,V2-A,V3-A,V4-A,V5-A,V6-A,V7-A,V8-A,V9-A,V10-A,V11-A,V12-A,V13-A,V14-A,V15-A,V16-A,V17-A,V18-A,V19-A,V20-A,B1-A,B2-A,B3-A,B4-A,B5-A,B6-A,B7-A,B8-A,B9-A,B10-A,B11-A,B12-A,B13-A,B14-A,B15-A,B16-A,Y1-A,Y2-A,Y3-A,Y4-A,Y5-A,Y6-A,Y7-A,Y8-A,Y9-A,Y10-A,Y11-A,Y12-A,R1-A,R2-A,R3-A,R4-A,R5-A,R6-A,R7-A,R8-A,R9-A,R10-A,IR1-A,IR2-A,IR3-A
BV711,-5.85E-05,-1.89E-05,0.004626916,0.003369473,0.003078479,0.002287059,0.002021792,0.000806798,0.000586925,0.00028615,0.004305703,0.02331965,0.120640307,0.169423753,0.135156055,0.082981119,0.047870336,0.014479429,0.007281128,0.000895406,0.125796558,0.073095628,0.072986862,0.038990684,0.013103067,0.006723625,0.004099853,0.001883504,0.001337815,0.000925802,0.018632037,0.165050378,0.940030464,1,0.848308203,0.473454444,0.268192998,0.100401137,0.071247676,0.005887397,1.08E-05,8.25E-05,0.000233782,0.000116952,-6.13E-06,-1.75E-06,0.000868725,0.011364245,0.087322445,0.10469507,0.025965362,0.019125877,0.01554489,0.006638354,0.00563073,0.000390066,-7.68E-05,9.59E-06,-5.02E-05,0.000758785,0.005417599,0.022823913,0.057774219,0.014596229,0.012099096,0.003733404,0.002743376,6.47E-06,0.004031167,0.050718052,0.268071912,0.329085468,0.166235359,0.133222059,0.0994461,0.031736419,0.022606764,0.002037607,0.000115565,1.24E-05,-9.92E-05
PerCP,0.000517242,0.001091853,0.001320679,0.000955002,0.00125923,0.000921726,0.00155884,0.001436077,0.000788496,0.001871402,0.11359462,0.374258768,0.083084965,0.05153321,0.090371588,0.04541086,0.012141394,0.00617205,0.002907501,0.000946882,0.003761937,0.001840191,0.002535796,0.001698482,0.000881509,0.001323981,0.000900465,0.000404959,0.00148386,0.001440333,0.17862852,1,0.267204387,0.123996832,0.224860541,0.101814547,0.026620587,0.01793319,0.010301304,0.001845748,0.000741905,0.001237615,0.001230508,0.001175371,0.000630023,0.00132841,0.127731053,0.934967425,0.286118483,0.141864682,0.076221134,0.047640666,0.019009371,0.015464998,0.012855325,0.002208744,0.00136631,0.001417677,0.000853518,0.143634209,0.748937118,0.128713905,0.208445835,0.099575683,0.033252743,0.016435903,0.008201241,0.001547231,0.040376476,0.313030778,0.07425273,0.039739163,0.043773858,0.028680639,0.009578003,0.005880596,0.003303338,0.001617366,0.000528722,0.000472837,0.000297094
